date,lux1,lux2,lux3,lux4,weather_condition,season,lux_diff_1_2,lux_ratio_1_3,lux1_moving_avg,lux2_moving_avg,lux3_moving_avg,lux4_moving_avg,lux1_weather_interaction,lux2_weather_interaction,lux3_weather_interaction,lux4_weather_interaction,light1,light2,light3,light4,light5,light6,light7,light8,light9
2024-07-02,591,290,657,793,0,0,301,0.8995433789954338,634.3333333333334,338.0,438.3333333333333,571.0,0,0,0,0,3,70,3,43,21,50,62,35,89
2024-07-02,513,766,656,821,2,0,-253,0.7820121951219512,515.6666666666666,503.6666666666667,513.0,760.0,1026,1532,1312,1642,26,16,8,59,61,2,95,68,83
2024-07-02,905,521,100,987,1,1,384,9.05,669.6666666666666,525.6666666666666,471.0,867.0,905,521,100,987,43,60,29,40,78,89,96,38,41
2024-07-02,485,799,267,570,2,1,-314,1.8164794007490637,634.3333333333334,695.3333333333334,341.0,792.6666666666666,970,1598,534,1140,39,9,44,20,25,77,12,69,50
2024-07-02,291,106,719,174,1,0,185,0.4047287899860918,560.3333333333334,475.3333333333333,362.0,577.0,291,106,719,174,46,30,3,85,17,57,26,99,23
2024-07-02,376,232,118,376,2,1,144,3.1864406779661016,384.0,379.0,368.0,373.3333333333333,752,464,236,752,93,59,68,41,47,71,17,3,81
2024-07-02,260,846,431,744,0,0,-586,0.6032482598607889,309.0,394.6666666666667,422.6666666666667,431.3333333333333,0,0,0,0,43,69,22,73,8,54,17,73,42
2024-07-02,559,656,683,442,0,1,-97,0.8184480234260615,398.3333333333333,578.0,410.6666666666667,520.6666666666666,0,0,0,0,47,16,15,73,0,79,76,64,72
2024-07-02,413,925,555,524,2,1,-512,0.7441441441441441,410.6666666666667,809.0,556.3333333333334,570.0,826,1850,1110,1048,90,49,21,28,8,41,85,84,18
2024-07-02,121,860,208,670,1,0,-739,0.5817307692307693,364.3333333333333,813.6666666666666,482.0,545.3333333333334,121,860,208,670,84,36,71,79,22,20,61,39,83
2024-07-02,352,130,367,610,2,0,222,0.9591280653950953,295.3333333333333,638.3333333333334,376.6666666666667,601.3333333333334,704,260,734,1220,51,81,47,64,44,9,13,36,60
2024-07-02,847,634,544,956,1,0,213,1.556985294117647,440.0,541.3333333333334,373.0,745.3333333333334,847,634,544,956,83,61,61,16,1,56,10,66,93
2024-07-02,956,525,339,281,2,1,431,2.8200589970501473,718.3333333333334,429.6666666666667,416.6666666666667,615.6666666666666,1912,1050,678,562,67,89,96,29,13,24,85,30,62
2024-07-02,660,493,400,557,1,0,167,1.65,821.0,550.6666666666666,427.6666666666667,598.0,660,493,400,557,10,79,59,25,37,55,99,90,25
2024-07-02,574,771,701,950,0,0,-197,0.818830242510699,730.0,596.3333333333334,480.0,596.0,0,0,0,0,76,71,79,52,39,37,16,80,94
2024-07-02,158,462,202,932,2,1,-304,0.7821782178217822,464.0,575.3333333333334,434.3333333333333,813.0,316,924,404,1864,72,87,4,18,62,85,50,86,34
2024-07-02,610,536,349,163,0,1,74,1.7478510028653296,447.3333333333333,589.6666666666666,417.3333333333333,681.6666666666666,0,0,0,0,3,76,79,52,81,60,95,76,66
2024-07-02,781,769,552,938,0,0,12,1.414855072463768,516.3333333333334,589.0,367.6666666666667,677.6666666666666,0,0,0,0,75,28,6,84,15,46,13,46,55
2024-07-02,575,650,619,359,2,0,-75,0.9289176090468497,655.3333333333334,651.6666666666666,506.6666666666667,486.6666666666667,1150,1300,1238,718,72,31,50,16,92,53,56,26,39
2024-07-02,799,181,252,292,2,0,618,3.1706349206349205,718.3333333333334,533.3333333333334,474.3333333333333,529.6666666666666,1598,362,504,584,76,87,64,45,74,45,92,50,28
2024-07-03,882,455,958,754,1,0,427,0.9206680584551148,752.0,428.6666666666667,609.6666666666666,468.3333333333333,882,455,958,754,47,79,8,84,5,67,5,19,5
2024-07-03,289,357,273,715,1,1,-68,1.0586080586080586,656.6666666666666,331.0,494.3333333333333,587.0,289,357,273,715,25,10,81,52,2,3,56,12,51
2024-07-03,786,817,442,505,0,1,-31,1.7782805429864252,652.3333333333334,543.0,557.6666666666666,658.0,0,0,0,0,76,95,44,63,13,93,3,62,0
2024-07-03,662,688,769,825,1,0,-26,0.8608582574772432,579.0,620.6666666666666,494.6666666666667,681.6666666666666,662,688,769,825,38,5,46,44,65,65,10,43,51
2024-07-03,975,623,530,853,1,0,352,1.8396226415094339,807.6666666666666,709.3333333333334,580.3333333333334,727.6666666666666,975,623,530,853,91,34,66,48,95,92,73,23,23
2024-07-03,666,394,826,820,2,0,272,0.8062953995157385,767.6666666666666,568.3333333333334,708.3333333333334,832.6666666666666,1332,788,1652,1640,57,32,23,18,94,42,91,2,33
2024-07-03,343,323,788,192,1,1,20,0.4352791878172589,661.3333333333334,446.6666666666667,714.6666666666666,621.6666666666666,343,323,788,192,18,17,91,70,74,61,10,9,6
2024-07-03,931,624,786,529,0,0,307,1.1844783715012723,646.6666666666666,447.0,800.0,513.6666666666666,0,0,0,0,87,36,9,80,85,99,98,64,74
2024-07-03,604,145,951,753,1,0,459,0.6351209253417456,626.0,364.0,841.6666666666666,491.3333333333333,604,145,951,753,82,12,72,64,66,84,78,48,10
2024-07-03,230,766,949,533,0,1,-536,0.24236037934668073,588.3333333333334,511.6666666666667,895.3333333333334,605.0,0,0,0,0,76,73,76,36,30,84,7,57,35
2024-07-03,584,212,757,503,2,1,372,0.7714663143989432,472.6666666666667,374.3333333333333,885.6666666666666,596.3333333333334,1168,424,1514,1006,76,89,47,69,32,84,83,76,19
2024-07-03,918,332,423,533,0,0,586,2.1702127659574466,577.3333333333334,436.6666666666667,709.6666666666666,523.0,0,0,0,0,57,80,34,25,87,3,58,77,62
2024-07-03,746,116,772,211,1,0,630,0.966321243523316,749.3333333333334,220.0,650.6666666666666,415.6666666666667,746,116,772,211,27,63,53,1,0,64,20,96,79
2024-07-03,120,459,738,474,2,1,-339,0.16260162601626016,594.6666666666666,302.3333333333333,644.3333333333334,406.0,240,918,1476,948,65,0,86,58,43,61,64,1,62
2024-07-03,940,322,519,158,1,0,618,1.811175337186898,602.0,299.0,676.3333333333334,281.0,940,322,519,158,9,62,80,95,14,89,92,65,68
2024-07-03,266,965,693,142,2,0,-699,0.3838383838383838,442.0,582.0,650.0,258.0,532,1930,1386,284,85,88,70,4,36,1,23,30,87
2024-07-03,373,799,584,306,2,1,-426,0.6386986301369864,526.3333333333334,695.3333333333334,598.6666666666666,202.0,746,1598,1168,612,76,33,15,36,26,8,29,67,29
2024-07-03,487,547,758,879,1,1,-60,0.6424802110817942,375.3333333333333,770.3333333333334,678.3333333333334,442.3333333333333,487,547,758,879,57,9,52,30,47,56,98,97,29
2024-07-03,700,955,850,395,1,1,-255,0.8235294117647058,520.0,767.0,730.6666666666666,526.6666666666666,700,955,850,395,72,83,39,75,26,44,96,82,96
2024-07-03,415,464,511,217,2,0,-49,0.812133072407045,534.0,655.3333333333334,706.3333333333334,497.0,830,928,1022,434,96,6,99,98,11,17,83,36,83
2024-07-03,113,774,183,631,2,1,-661,0.6174863387978142,409.3333333333333,731.0,514.6666666666666,414.3333333333333,226,1548,366,1262,13,55,19,93,66,47,56,72,21
2024-07-03,341,425,212,321,1,1,-84,1.6084905660377358,289.6666666666667,554.3333333333334,302.0,389.6666666666667,341,425,212,321,83,79,87,47,29,41,79,23,60
2024-07-04,876,566,836,265,0,0,310,1.0478468899521531,443.3333333333333,588.3333333333334,410.3333333333333,405.6666666666667,0,0,0,0,14,36,68,5,95,40,72,76,20
2024-07-04,445,513,431,742,1,0,-68,1.0324825986078887,554.0,501.3333333333333,493.0,442.6666666666667,445,513,431,742,95,28,44,14,86,74,94,43,36
2024-07-04,664,554,477,255,2,1,110,1.3920335429769393,661.6666666666666,544.3333333333334,581.3333333333334,420.6666666666667,1328,1108,954,510,32,11,5,14,65,88,16,93,26
2024-07-04,997,685,854,283,1,1,312,1.1674473067915692,702.0,584.0,587.3333333333334,426.6666666666667,997,685,854,283,16,16,91,60,6,89,58,82,34
2024-07-04,439,332,754,189,0,0,107,0.5822281167108754,700.0,523.6666666666666,695.0,242.33333333333334,0,0,0,0,23,47,68,15,33,57,30,40,37
2024-07-04,191,323,140,193,1,0,-132,1.3642857142857143,542.3333333333334,446.6666666666667,582.6666666666666,221.66666666666666,191,323,140,193,29,83,48,19,31,99,63,73,59
2024-07-04,466,930,869,112,2,1,-464,0.5362485615650172,365.3333333333333,528.3333333333334,587.6666666666666,164.66666666666666,932,1860,1738,224,61,25,38,76,38,41,47,50,69
2024-07-04,554,511,896,933,1,1,43,0.6183035714285714,403.6666666666667,588.0,635.0,412.6666666666667,554,511,896,933,12,82,1,43,95,34,22,41,31
2024-07-04,527,671,204,904,2,0,-144,2.5833333333333335,515.6666666666666,704.0,656.3333333333334,649.6666666666666,1054,1342,408,1808,61,11,38,41,42,37,69,77,79
2024-07-04,608,434,301,841,2,1,174,2.0199335548172757,563.0,538.6666666666666,467.0,892.6666666666666,1216,868,602,1682,46,20,20,45,42,66,29,39,91
2024-07-04,875,321,549,933,1,0,554,1.5938069216757742,670.0,475.3333333333333,351.3333333333333,892.6666666666666,875,321,549,933,15,41,39,94,77,40,54,47,79
2024-07-04,134,136,918,903,2,1,-2,0.14596949891067537,539.0,297.0,589.3333333333334,892.3333333333334,268,272,1836,1806,65,60,81,33,2,98,6,83,26
2024-07-04,305,377,942,537,2,0,-72,0.3237791932059448,438.0,278.0,803.0,791.0,610,754,1884,1074,80,57,53,63,45,49,74,3,2
2024-07-04,180,295,365,637,0,0,-115,0.4931506849315068,206.33333333333334,269.3333333333333,741.6666666666666,692.3333333333334,0,0,0,0,95,53,11,28,31,85,97,59,48
2024-07-04,661,963,309,686,0,1,-302,2.1391585760517797,382.0,545.0,538.6666666666666,620.0,0,0,0,0,42,33,80,2,42,71,11,38,84
2024-07-04,971,583,662,975,0,1,388,1.4667673716012084,604.0,613.6666666666666,445.3333333333333,766.0,0,0,0,0,7,6,36,8,99,78,59,4,29
2024-07-04,487,341,217,910,0,0,146,2.2442396313364057,706.3333333333334,629.0,396.0,857.0,0,0,0,0,2,34,37,74,80,44,51,95,21
2024-07-04,101,423,812,249,2,1,-322,0.12438423645320197,519.6666666666666,449.0,563.6666666666666,711.3333333333334,202,846,1624,498,11,14,14,74,2,70,26,5,18
2024-07-04,489,830,476,759,1,1,-341,1.0273109243697478,359.0,531.3333333333334,501.6666666666667,639.3333333333334,489,830,476,759,83,64,6,24,73,18,11,13,30
2024-07-04,665,291,650,107,2,1,374,1.023076923076923,418.3333333333333,514.6666666666666,646.0,371.6666666666667,1330,582,1300,214,15,89,77,85,62,16,12,69,19
2024-07-04,205,116,639,128,2,0,89,0.3208137715179969,453.0,412.3333333333333,588.3333333333334,331.3333333333333,410,232,1278,256,77,98,49,41,39,64,71,77,18
2024-07-04,871,623,870,395,2,1,248,1.0011494252873563,580.3333333333334,343.3333333333333,719.6666666666666,210.0,1742,1246,1740,790,79,24,64,45,17,92,79,11,1
2024-07-05,921,500,183,820,1,1,421,5.032786885245901,665.6666666666666,413.0,564.0,447.6666666666667,921,500,183,820,58,58,66,72,66,76,61,61,39
2024-07-05,576,985,553,739,0,0,-409,1.0415913200723328,789.3333333333334,702.6666666666666,535.3333333333334,651.3333333333334,0,0,0,0,48,78,43,83,61,55,28,26,38
2024-07-05,802,804,766,439,2,1,-2,1.0469973890339426,766.3333333333334,763.0,500.6666666666667,666.0,1604,1608,1532,878,62,85,30,58,9,92,34,53,90
2024-07-05,501,121,728,727,2,1,380,0.6881868131868132,626.3333333333334,636.6666666666666,682.3333333333334,635.0,1002,242,1456,1454,61,5,42,20,51,40,59,89,71
2024-07-05,829,573,613,538,0,0,256,1.3523654159869494,710.6666666666666,499.3333333333333,702.3333333333334,568.0,0,0,0,0,48,51,76,73,72,41,28,11,53
2024-07-05,655,219,704,243,2,0,436,0.9303977272727273,661.6666666666666,304.3333333333333,681.6666666666666,502.6666666666667,1310,438,1408,486,50,78,47,21,45,5,30,7,26
2024-07-05,261,309,777,929,1,1,-48,0.3359073359073359,581.6666666666666,367.0,698.0,570.0,261,309,777,929,32,87,81,28,54,68,76,73,78
2024-07-05,301,405,486,846,2,1,-104,0.6193415637860082,405.6666666666667,311.0,655.6666666666666,672.6666666666666,602,810,972,1692,29,20,80,62,45,97,75,15,11
2024-07-05,369,369,449,618,2,0,0,0.821826280623608,310.3333333333333,361.0,570.6666666666666,797.6666666666666,738,738,898,1236,58,70,80,72,74,74,60,51,77
2024-07-05,962,803,395,144,0,0,159,2.4354430379746836,544.0,525.6666666666666,443.3333333333333,536.0,0,0,0,0,75,92,60,60,59,72,1,25,70
2024-07-05,915,786,357,338,2,1,129,2.563025210084034,748.6666666666666,652.6666666666666,400.3333333333333,366.6666666666667,1830,1572,714,676,14,95,74,63,96,39,32,7,16
2024-07-05,370,384,180,254,2,1,-14,2.0555555555555554,749.0,657.6666666666666,310.6666666666667,245.33333333333334,740,768,360,508,81,31,83,68,99,40,71,44,89
2024-07-05,555,815,367,280,1,1,-260,1.5122615803814714,613.3333333333334,661.6666666666666,301.3333333333333,290.6666666666667,555,815,367,280,91,52,9,39,25,8,61,92,83
2024-07-05,561,775,518,314,0,0,-214,1.083011583011583,495.3333333333333,658.0,355.0,282.6666666666667,0,0,0,0,22,58,28,74,26,7,58,83,9
2024-07-05,826,862,334,187,0,1,-36,2.4730538922155687,647.3333333333334,817.3333333333334,406.3333333333333,260.3333333333333,0,0,0,0,77,68,47,0,37,43,39,80,18
2024-07-05,351,326,932,355,1,0,25,0.37660944206008584,579.3333333333334,654.3333333333334,594.6666666666666,285.3333333333333,351,326,932,355,93,61,97,64,21,57,48,18,81
2024-07-05,801,480,410,610,2,0,321,1.9536585365853658,659.3333333333334,556.0,558.6666666666666,384.0,1602,960,820,1220,96,3,80,61,25,66,31,16,29
2024-07-05,395,559,912,172,0,0,-164,0.4331140350877193,515.6666666666666,455.0,751.3333333333334,379.0,0,0,0,0,44,85,61,53,85,12,37,64,29
2024-07-05,824,106,456,278,0,1,718,1.8070175438596492,673.3333333333334,381.6666666666667,592.6666666666666,353.3333333333333,0,0,0,0,61,17,12,59,68,18,91,28,24
2024-07-05,819,128,312,311,2,1,691,2.625,679.3333333333334,264.3333333333333,560.0,253.66666666666666,1638,256,624,622,78,98,43,45,34,97,78,13,87
2024-07-05,848,132,673,904,2,1,716,1.2600297176820208,830.3333333333334,122.0,480.3333333333333,497.6666666666667,1696,264,1346,1808,70,80,46,4,65,95,86,16,73
2024-07-05,437,745,148,333,0,0,-308,2.9527027027027026,701.3333333333334,335.0,377.6666666666667,516.0,0,0,0,0,14,55,63,21,98,48,87,12,65
2024-07-06,978,978,226,564,2,1,0,4.327433628318584,754.3333333333334,618.3333333333334,349.0,600.3333333333334,1956,1956,452,1128,45,23,90,89,72,79,12,92,95
2024-07-06,152,178,322,850,0,0,-26,0.4720496894409938,522.3333333333334,633.6666666666666,232.0,582.3333333333334,0,0,0,0,63,65,52,52,50,99,84,97,34
2024-07-06,891,558,378,322,2,0,333,2.357142857142857,673.6666666666666,571.3333333333334,308.6666666666667,578.6666666666666,1782,1116,756,644,45,12,89,69,17,81,53,90,50
2024-07-06,316,669,507,730,2,0,-353,0.6232741617357002,453.0,468.3333333333333,402.3333333333333,634.0,632,1338,1014,1460,55,61,91,31,42,77,75,62,70
2024-07-06,863,637,604,924,1,0,226,1.4288079470198676,690.0,621.3333333333334,496.3333333333333,658.6666666666666,863,637,604,924,43,53,76,10,11,29,12,32,70
2024-07-06,287,581,393,363,2,0,-294,0.7302798982188295,488.6666666666667,629.0,501.3333333333333,672.3333333333334,574,1162,786,726,74,14,75,9,2,65,38,28,26
2024-07-06,479,529,895,306,1,0,-50,0.535195530726257,543.0,582.3333333333334,630.6666666666666,531.0,479,529,895,306,28,68,43,38,81,76,22,36,9
2024-07-06,592,837,376,706,2,1,-245,1.574468085106383,452.6666666666667,649.0,554.6666666666666,458.3333333333333,1184,1674,752,1412,94,2,27,97,6,90,91,82,96
2024-07-06,140,384,537,984,0,0,-244,0.260707635009311,403.6666666666667,583.3333333333334,602.6666666666666,665.3333333333334,0,0,0,0,61,36,1,30,96,58,13,45,42
2024-07-06,256,615,206,833,0,1,-359,1.2427184466019416,329.3333333333333,612.0,373.0,841.0,0,0,0,0,88,36,56,11,5,52,16,23,54
2024-07-06,114,198,757,465,2,0,-84,0.15059445178335534,170.0,399.0,500.0,760.6666666666666,228,396,1514,930,51,2,56,79,81,51,23,13,70
2024-07-06,912,496,519,375,2,1,416,1.7572254335260116,427.3333333333333,436.3333333333333,494.0,557.6666666666666,1824,992,1038,750,53,62,33,37,44,80,57,4,5
2024-07-06,164,588,710,479,0,1,-424,0.23098591549295774,396.6666666666667,427.3333333333333,662.0,439.6666666666667,0,0,0,0,87,34,86,66,85,30,62,52,5
2024-07-06,956,138,528,842,2,1,818,1.8106060606060606,677.3333333333334,407.3333333333333,585.6666666666666,565.3333333333334,1912,276,1056,1684,56,51,57,65,38,14,33,87,76
2024-07-06,938,370,474,408,1,1,568,1.978902953586498,686.0,365.3333333333333,570.6666666666666,576.3333333333334,938,370,474,408,82,86,51,51,50,19,50,97,47
2024-07-06,620,986,172,730,1,0,-366,3.604651162790698,838.0,498.0,391.3333333333333,660.0,620,986,172,730,65,27,28,4,8,4,85,94,76
2024-07-06,443,896,733,367,1,0,-453,0.6043656207366985,667.0,750.6666666666666,459.6666666666667,501.6666666666667,443,896,733,367,21,93,34,10,98,6,9,29,1
2024-07-06,228,256,129,884,1,0,-28,1.7674418604651163,430.3333333333333,712.6666666666666,344.6666666666667,660.3333333333334,228,256,129,884,19,17,74,24,22,17,71,59,82
2024-07-06,747,174,287,163,1,0,573,2.602787456445993,472.6666666666667,442.0,383.0,471.3333333333333,747,174,287,163,32,35,47,34,11,55,20,72,50
2024-07-06,571,983,463,909,2,1,-412,1.2332613390928726,515.3333333333334,471.0,293.0,652.0,1142,1966,926,1818,71,32,32,34,87,74,36,90,60
2024-07-06,162,899,965,449,2,1,-737,0.16787564766839377,493.3333333333333,685.3333333333334,571.6666666666666,507.0,324,1798,1930,898,24,63,74,21,61,95,6,27,18
2024-07-06,238,229,899,593,1,1,9,0.26473859844271413,323.6666666666667,703.6666666666666,775.6666666666666,650.3333333333334,238,229,899,593,45,25,72,36,72,90,89,25,1
2024-07-07,598,786,550,622,2,0,-188,1.0872727272727272,332.6666666666667,638.0,804.6666666666666,554.6666666666666,1196,1572,1100,1244,72,47,77,85,76,89,12,17,50
2024-07-07,692,183,294,197,2,1,509,2.3537414965986394,509.3333333333333,399.3333333333333,581.0,470.6666666666667,1384,366,588,394,97,39,8,54,39,44,79,35,25
2024-07-07,491,121,255,170,1,0,370,1.9254901960784314,593.6666666666666,363.3333333333333,366.3333333333333,329.6666666666667,491,121,255,170,56,16,47,74,53,27,29,7,69
2024-07-07,774,558,271,463,2,1,216,2.856088560885609,652.3333333333334,287.3333333333333,273.3333333333333,276.6666666666667,1548,1116,542,926,86,39,66,95,80,49,30,17,19
2024-07-07,518,638,946,669,2,1,-120,0.547568710359408,594.3333333333334,439.0,490.6666666666667,434.0,1036,1276,1892,1338,4,6,92,98,6,1,4,83,22
2024-07-07,388,806,140,901,2,1,-418,2.7714285714285714,560.0,667.3333333333334,452.3333333333333,677.6666666666666,776,1612,280,1802,54,56,82,94,16,83,31,57,53
2024-07-07,478,948,162,862,1,1,-470,2.950617283950617,461.3333333333333,797.3333333333334,416.0,810.6666666666666,478,948,162,862,60,7,35,71,49,67,15,31,14
2024-07-07,872,481,122,375,2,1,391,7.147540983606557,579.3333333333334,745.0,141.33333333333334,712.6666666666666,1744,962,244,750,88,55,95,63,23,76,72,92,5
2024-07-07,589,847,459,149,0,0,-258,1.2832244008714597,646.3333333333334,758.6666666666666,247.66666666666666,462.0,0,0,0,0,7,30,70,19,1,23,21,48,91
2024-07-07,330,539,174,457,0,1,-209,1.896551724137931,597.0,622.3333333333334,251.66666666666666,327.0,0,0,0,0,15,58,91,97,98,47,63,47,34
2024-07-07,140,703,659,827,1,0,-563,0.212443095599393,353.0,696.3333333333334,430.6666666666667,477.6666666666667,140,703,659,827,47,57,43,3,91,44,43,81,74
2024-07-07,127,120,771,663,0,0,7,0.16472114137483787,199.0,454.0,534.6666666666666,649.0,0,0,0,0,60,11,81,17,82,92,39,70,7
2024-07-07,234,402,924,882,1,0,-168,0.2532467532467532,167.0,408.3333333333333,784.6666666666666,790.6666666666666,234,402,924,882,14,47,59,50,32,57,36,64,56
2024-07-07,300,968,217,584,0,0,-668,1.3824884792626728,220.33333333333334,496.6666666666667,637.3333333333334,709.6666666666666,0,0,0,0,64,30,62,67,20,35,77,91,49
2024-07-07,939,183,711,183,0,0,756,1.3206751054852321,491.0,517.6666666666666,617.3333333333334,549.6666666666666,0,0,0,0,21,82,4,19,73,1,15,32,48
2024-07-07,879,873,479,998,0,0,6,1.8350730688935282,706.0,674.6666666666666,469.0,588.3333333333334,0,0,0,0,2,62,86,8,52,17,42,49,87
2024-07-07,132,758,778,904,1,0,-626,0.16966580976863754,650.0,604.6666666666666,656.0,695.0,132,758,778,904,53,73,85,79,45,48,83,3,20
2024-07-07,147,552,389,737,1,0,-405,0.37789203084832906,386.0,727.6666666666666,548.6666666666666,879.6666666666666,147,552,389,737,13,38,89,25,44,7,62,83,35
2024-07-07,602,486,539,907,2,1,116,1.1168831168831168,293.6666666666667,598.6666666666666,568.6666666666666,849.3333333333334,1204,972,1078,1814,35,75,75,24,8,57,14,35,70
2024-07-07,506,606,767,683,1,1,-100,0.6597131681877445,418.3333333333333,548.0,565.0,775.6666666666666,506,606,767,683,81,19,39,67,5,14,43,94,68
2024-07-07,673,356,106,395,0,0,317,6.349056603773585,593.6666666666666,482.6666666666667,470.6666666666667,661.6666666666666,0,0,0,0,81,47,18,40,50,16,89,27,57
2024-07-07,827,669,295,335,0,0,158,2.8033898305084746,668.6666666666666,543.6666666666666,389.3333333333333,471.0,0,0,0,0,66,70,46,58,34,22,8,2,62
2024-07-08,904,991,520,155,1,0,-87,1.7384615384615385,801.3333333333334,672.0,307.0,295.0,904,991,520,155,9,53,64,44,81,65,64,5,92
2024-07-08,198,626,667,459,1,1,-428,0.29685157421289354,643.0,762.0,494.0,316.3333333333333,198,626,667,459,48,77,66,40,52,69,98,44,15
2024-07-08,783,261,932,209,1,1,522,0.8401287553648069,628.3333333333334,626.0,706.3333333333334,274.3333333333333,783,261,932,209,64,74,90,37,18,92,43,22,5
2024-07-08,971,262,292,291,2,0,709,3.3253424657534247,650.6666666666666,383.0,630.3333333333334,319.6666666666667,1942,524,584,582,90,70,17,18,68,26,19,6,77
2024-07-08,825,931,658,192,0,0,-106,1.2537993920972645,859.6666666666666,484.6666666666667,627.3333333333334,230.66666666666666,0,0,0,0,56,28,49,13,24,36,69,60,51
2024-07-08,646,892,247,961,2,1,-246,2.6153846153846154,814.0,695.0,399.0,481.3333333333333,1292,1784,494,1922,26,73,29,20,10,48,73,99,1
2024-07-08,838,891,886,667,2,1,-53,0.945823927765237,769.6666666666666,904.6666666666666,597.0,606.6666666666666,1676,1782,1772,1334,74,92,65,14,73,63,32,64,88
2024-07-08,712,623,768,159,0,0,89,0.9270833333333334,732.0,802.0,633.6666666666666,595.6666666666666,0,0,0,0,4,72,4,2,16,33,79,5,94
