date,lux1,lux2,lux3,lux4,weather_condition,season,lux_diff_1_2,lux_ratio_1_3,lux1_moving_avg,lux1_weather_interaction,light1,light2,light3,light4,light5,light6,light7,light8,light9
2024-07-05,555,815,367,280,1,1,-260,1.5122615803814714,613.3333333333334,555,91,52,9,39,25,8,61,92,83
2024-07-05,561,775,518,314,0,0,-214,1.083011583011583,495.3333333333333,0,22,58,28,74,26,7,58,83,9
2024-07-05,826,862,334,187,0,1,-36,2.4730538922155687,647.3333333333334,0,77,68,47,0,37,43,39,80,18
2024-07-05,351,326,932,355,1,0,25,0.37660944206008584,579.3333333333334,351,93,61,97,64,21,57,48,18,81
2024-07-05,801,480,410,610,2,0,321,1.9536585365853658,659.3333333333334,1602,96,3,80,61,25,66,31,16,29
2024-07-05,395,559,912,172,0,0,-164,0.4331140350877193,515.6666666666666,0,44,85,61,53,85,12,37,64,29
2024-07-05,824,106,456,278,0,1,718,1.8070175438596492,673.3333333333334,0,61,17,12,59,68,18,91,28,24
2024-07-05,819,128,312,311,2,1,691,2.625,679.3333333333334,1638,78,98,43,45,34,97,78,13,87
2024-07-05,848,132,673,904,2,1,716,1.2600297176820208,830.3333333333334,1696,70,80,46,4,65,95,86,16,73
2024-07-05,437,745,148,333,0,0,-308,2.9527027027027026,701.3333333333334,0,14,55,63,21,98,48,87,12,65
2024-07-06,978,978,226,564,2,1,0,4.327433628318584,754.3333333333334,1956,45,23,90,89,72,79,12,92,95
2024-07-06,152,178,322,850,0,0,-26,0.4720496894409938,522.3333333333334,0,63,65,52,52,50,99,84,97,34
2024-07-06,891,558,378,322,2,0,333,2.357142857142857,673.6666666666666,1782,45,12,89,69,17,81,53,90,50
2024-07-06,316,669,507,730,2,0,-353,0.6232741617357002,453.0,632,55,61,91,31,42,77,75,62,70
2024-07-06,863,637,604,924,1,0,226,1.4288079470198676,690.0,863,43,53,76,10,11,29,12,32,70
2024-07-06,287,581,393,363,2,0,-294,0.7302798982188295,488.6666666666667,574,74,14,75,9,2,65,38,28,26
2024-07-06,479,529,895,306,1,0,-50,0.535195530726257,543.0,479,28,68,43,38,81,76,22,36,9
2024-07-06,592,837,376,706,2,1,-245,1.574468085106383,452.6666666666667,1184,94,2,27,97,6,90,91,82,96
2024-07-06,140,384,537,984,0,0,-244,0.260707635009311,403.6666666666667,0,61,36,1,30,96,58,13,45,42
2024-07-06,256,615,206,833,0,1,-359,1.2427184466019416,329.3333333333333,0,88,36,56,11,5,52,16,23,54
2024-07-06,114,198,757,465,2,0,-84,0.15059445178335534,170.0,228,51,2,56,79,81,51,23,13,70
2024-07-06,912,496,519,375,2,1,416,1.7572254335260116,427.3333333333333,1824,53,62,33,37,44,80,57,4,5
2024-07-06,164,588,710,479,0,1,-424,0.23098591549295774,396.6666666666667,0,87,34,86,66,85,30,62,52,5
2024-07-06,956,138,528,842,2,1,818,1.8106060606060606,677.3333333333334,1912,56,51,57,65,38,14,33,87,76
2024-07-06,938,370,474,408,1,1,568,1.978902953586498,686.0,938,82,86,51,51,50,19,50,97,47
2024-07-06,620,986,172,730,1,0,-366,3.604651162790698,838.0,620,65,27,28,4,8,4,85,94,76
2024-07-06,443,896,733,367,1,0,-453,0.6043656207366985,667.0,443,21,93,34,10,98,6,9,29,1
2024-07-06,228,256,129,884,1,0,-28,1.7674418604651163,430.3333333333333,228,19,17,74,24,22,17,71,59,82
2024-07-06,747,174,287,163,1,0,573,2.602787456445993,472.6666666666667,747,32,35,47,34,11,55,20,72,50
2024-07-06,571,983,463,909,2,1,-412,1.2332613390928726,515.3333333333334,1142,71,32,32,34,87,74,36,90,60
2024-07-06,162,899,965,449,2,1,-737,0.16787564766839377,493.3333333333333,324,24,63,74,21,61,95,6,27,18
2024-07-06,238,229,899,593,1,1,9,0.26473859844271413,323.6666666666667,238,45,25,72,36,72,90,89,25,1
2024-07-07,598,786,550,622,2,0,-188,1.0872727272727272,332.6666666666667,1196,72,47,77,85,76,89,12,17,50
2024-07-07,692,183,294,197,2,1,509,2.3537414965986394,509.3333333333333,1384,97,39,8,54,39,44,79,35,25
2024-07-07,491,121,255,170,1,0,370,1.9254901960784314,593.6666666666666,491,56,16,47,74,53,27,29,7,69
2024-07-07,774,558,271,463,2,1,216,2.856088560885609,652.3333333333334,1548,86,39,66,95,80,49,30,17,19
2024-07-07,518,638,946,669,2,1,-120,0.547568710359408,594.3333333333334,1036,4,6,92,98,6,1,4,83,22
2024-07-07,388,806,140,901,2,1,-418,2.7714285714285714,560.0,776,54,56,82,94,16,83,31,57,53
2024-07-07,478,948,162,862,1,1,-470,2.950617283950617,461.3333333333333,478,60,7,35,71,49,67,15,31,14
2024-07-07,872,481,122,375,2,1,391,7.147540983606557,579.3333333333334,1744,88,55,95,63,23,76,72,92,5
2024-07-07,589,847,459,149,0,0,-258,1.2832244008714597,646.3333333333334,0,7,30,70,19,1,23,21,48,91
2024-07-07,330,539,174,457,0,1,-209,1.896551724137931,597.0,0,15,58,91,97,98,47,63,47,34
2024-07-07,140,703,659,827,1,0,-563,0.212443095599393,353.0,140,47,57,43,3,91,44,43,81,74
2024-07-07,127,120,771,663,0,0,7,0.16472114137483787,199.0,0,60,11,81,17,82,92,39,70,7
2024-07-07,234,402,924,882,1,0,-168,0.2532467532467532,167.0,234,14,47,59,50,32,57,36,64,56
2024-07-07,300,968,217,584,0,0,-668,1.3824884792626728,220.33333333333334,0,64,30,62,67,20,35,77,91,49
2024-07-07,939,183,711,183,0,0,756,1.3206751054852321,491.0,0,21,82,4,19,73,1,15,32,48
2024-07-07,879,873,479,998,0,0,6,1.8350730688935282,706.0,0,2,62,86,8,52,17,42,49,87
2024-07-07,132,758,778,904,1,0,-626,0.16966580976863754,650.0,132,53,73,85,79,45,48,83,3,20
2024-07-07,147,552,389,737,1,0,-405,0.37789203084832906,386.0,147,13,38,89,25,44,7,62,83,35
2024-07-07,602,486,539,907,2,1,116,1.1168831168831168,293.6666666666667,1204,35,75,75,24,8,57,14,35,70
2024-07-07,506,606,767,683,1,1,-100,0.6597131681877445,418.3333333333333,506,81,19,39,67,5,14,43,94,68
2024-07-07,673,356,106,395,0,0,317,6.349056603773585,593.6666666666666,0,81,47,18,40,50,16,89,27,57
2024-07-07,827,669,295,335,0,0,158,2.8033898305084746,668.6666666666666,0,66,70,46,58,34,22,8,2,62
2024-07-08,904,991,520,155,1,0,-87,1.7384615384615385,801.3333333333334,904,9,53,64,44,81,65,64,5,92
2024-07-08,198,626,667,459,1,1,-428,0.29685157421289354,643.0,198,48,77,66,40,52,69,98,44,15
2024-07-08,783,261,932,209,1,1,522,0.8401287553648069,628.3333333333334,783,64,74,90,37,18,92,43,22,5
2024-07-08,971,262,292,291,2,0,709,3.3253424657534247,650.6666666666666,1942,90,70,17,18,68,26,19,6,77
2024-07-08,825,931,658,192,0,0,-106,1.2537993920972645,859.6666666666666,0,56,28,49,13,24,36,69,60,51
2024-07-08,646,892,247,961,2,1,-246,2.6153846153846154,814.0,1292,26,73,29,20,10,48,73,99,1
2024-07-08,838,891,886,667,2,1,-53,0.945823927765237,769.6666666666666,1676,74,92,65,14,73,63,32,64,88
2024-07-08,712,623,768,159,0,0,89,0.9270833333333334,732.0,0,4,72,4,2,16,33,79,5,94
2024-07-08,561,885,301,749,0,0,-324,1.8637873754152825,703.6666666666666,0,70,99,92,36,35,17,99,23,76
2024-07-08,742,370,543,138,1,0,372,1.3664825046040516,671.6666666666666,742,82,47,96,45,89,63,5,36,17
2024-07-08,868,591,518,639,1,0,277,1.6756756756756757,723.6666666666666,868,56,73,41,15,94,73,82,44,80
2024-07-08,104,307,526,148,2,1,-203,0.19771863117870722,571.3333333333334,208,92,82,83,13,95,43,30,50,91
2024-07-08,317,638,578,519,1,1,-321,0.5484429065743944,429.6666666666667,317,14,55,93,8,20,16,65,99,75
2024-07-08,602,683,574,736,1,0,-81,1.048780487804878,341.0,602,98,94,4,6,17,58,17,87,34
2024-07-08,866,159,225,112,0,0,707,3.848888888888889,595.0,0,75,16,49,13,59,12,27,44,85
2024-07-08,497,529,494,135,0,0,-32,1.0060728744939271,655.0,0,29,8,84,5,17,51,67,62,38
2024-07-08,970,756,916,200,1,1,214,1.0589519650655022,777.6666666666666,970,19,96,57,84,0,59,64,28,0
2024-07-08,894,704,980,893,0,0,190,0.9122448979591836,787.0,0,36,33,78,14,13,41,79,95,36
2024-07-08,492,408,905,185,1,0,84,0.543646408839779,785.3333333333334,492,2,44,83,51,7,90,44,24,20
2024-07-08,306,619,675,615,0,0,-313,0.4533333333333333,564.0,0,72,87,7,71,65,63,57,9,0
2024-07-08,114,690,424,322,0,1,-576,0.2688679245283019,304.0,0,40,8,30,33,50,65,46,34,3
2024-07-08,957,126,491,437,0,0,831,1.9490835030549898,459.0,0,38,6,11,0,78,33,65,54,95
2024-07-09,653,785,787,265,0,1,-132,0.829733163913596,574.6666666666666,0,25,15,20,95,59,94,51,24,57
2024-07-09,991,661,727,482,1,0,330,1.3631361760660248,867.0,991,1,18,93,68,33,86,35,90,0
2024-07-09,560,298,539,955,2,0,262,1.0389610389610389,734.6666666666666,1120,22,5,61,93,35,70,0,44,12
2024-07-09,790,486,303,994,0,0,304,2.607260726072607,780.3333333333334,0,22,10,90,85,61,63,38,95,45
2024-07-09,674,448,585,475,1,1,226,1.152136752136752,674.6666666666666,674,84,75,89,19,0,32,86,11,46
2024-07-09,963,792,932,570,1,0,171,1.0332618025751072,809.0,963,15,60,32,79,84,11,89,3,80
2024-07-09,842,635,130,889,0,0,207,6.476923076923077,826.3333333333334,0,8,41,25,6,41,75,74,89,75
2024-07-09,340,927,487,741,2,1,-587,0.6981519507186859,715.0,680,12,12,89,6,0,18,0,66,6
2024-07-09,663,477,724,130,0,1,186,0.9157458563535912,615.0,0,27,11,99,49,95,8,74,16,50
2024-07-09,195,998,976,474,1,1,-803,0.19979508196721313,399.3333333333333,195,26,84,39,1,83,73,87,72,2
2024-07-09,999,657,533,110,2,0,342,1.874296435272045,619.0,1998,50,73,64,46,53,16,73,92,49
2024-07-09,833,626,936,401,1,1,207,0.8899572649572649,675.6666666666666,833,63,19,58,13,46,49,13,64,25
2024-07-09,584,252,475,195,0,0,332,1.2294736842105263,805.3333333333334,0,51,49,14,30,99,38,77,81,30
2024-07-09,506,833,443,289,2,1,-327,1.142212189616253,641.0,1012,80,35,0,49,38,40,70,52,99
2024-07-09,330,305,542,552,1,1,25,0.6088560885608856,473.3333333333333,330,37,91,10,60,29,9,22,83,61
2024-07-09,848,554,678,291,1,1,294,1.2507374631268438,561.3333333333334,848,99,87,54,40,6,11,42,56,25
2024-07-09,754,372,174,585,1,0,382,4.333333333333333,644.0,754,64,68,1,13,21,78,21,97,66
2024-07-09,270,993,656,365,0,0,-723,0.4115853658536585,624.0,0,17,36,64,4,49,94,59,27,54
2024-07-09,640,335,871,523,2,0,305,0.7347876004592423,554.6666666666666,1280,62,11,94,74,44,14,99,98,27
2024-07-09,135,951,765,227,0,0,-816,0.17647058823529413,348.3333333333333,0,50,98,43,4,73,27,26,15,43
2024-07-09,624,839,254,337,0,0,-215,2.456692913385827,466.3333333333333,0,8,39,15,63,71,3,55,20,80
2024-07-09,259,620,529,454,0,0,-361,0.4896030245746692,339.3333333333333,0,12,53,21,28,90,35,1,76,37
2024-07-10,938,777,462,211,2,0,161,2.0303030303030303,607.0,1876,39,1,17,74,9,64,38,98,29
2024-07-10,798,930,547,927,0,0,-132,1.4588665447897624,665.0,0,54,49,46,4,13,97,50,41,65
2024-07-10,342,825,333,545,0,0,-483,1.027027027027027,692.6666666666666,0,78,40,80,95,45,46,18,53,7
2024-07-10,185,600,662,442,0,1,-415,0.2794561933534743,441.6666666666667,0,42,44,29,35,74,80,61,31,13
2024-07-10,895,216,917,244,0,1,679,0.9760087241003271,474.0,0,43,8,9,78,5,38,70,37,98
2024-07-10,677,485,361,164,1,0,192,1.8753462603878117,585.6666666666666,677,67,61,98,18,20,37,75,69,61
2024-07-10,781,443,926,346,0,0,338,0.8434125269978402,784.3333333333334,0,32,85,57,63,61,43,66,37,74
2024-07-10,656,683,224,834,1,0,-27,2.9285714285714284,704.6666666666666,656,23,46,61,21,96,50,62,53,62
2024-07-10,673,494,344,589,0,0,179,1.9563953488372092,703.3333333333334,0,35,4,84,33,18,96,4,59,78
2024-07-10,745,163,641,924,2,1,582,1.1622464898595943,691.3333333333334,1490,9,75,79,55,87,84,71,76,65
2024-07-10,895,816,584,538,1,1,79,1.5325342465753424,771.0,895,99,0,5,16,81,25,77,76,95
2024-07-10,127,820,221,205,1,0,-693,0.5746606334841629,589.0,127,19,43,66,75,98,35,60,46,39
2024-07-10,719,171,224,280,1,1,548,3.2098214285714284,580.3333333333334,719,74,21,40,88,61,68,99,11,12
2024-07-10,655,888,648,283,1,1,-233,1.0108024691358024,500.3333333333333,655,11,37,42,55,82,96,70,52,16
2024-07-10,439,373,269,325,2,0,66,1.6319702602230484,604.3333333333334,878,61,18,84,16,52,0,6,32,14
2024-07-10,897,419,223,876,0,0,478,4.022421524663677,663.6666666666666,0,17,79,76,73,23,52,49,27,32
2024-07-10,430,437,968,889,1,0,-7,0.44421487603305787,588.6666666666666,430,93,30,17,91,55,5,45,2,15
2024-07-10,739,465,134,188,2,0,274,5.514925373134329,688.6666666666666,1478,62,66,57,81,61,36,95,81,12
2024-07-10,605,594,186,787,1,1,11,3.252688172043011,591.3333333333334,605,83,86,59,17,33,1,71,25,85
2024-07-10,447,706,745,629,0,0,-259,0.6,597.0,0,24,41,87,44,21,68,75,53,22
2024-07-10,572,265,807,470,1,1,307,0.7087980173482032,541.3333333333334,572,11,81,26,95,67,89,73,39,35
2024-07-10,330,643,885,498,2,0,-313,0.3728813559322034,449.6666666666667,660,20,25,67,77,56,40,13,65,42
2024-07-11,289,110,300,205,0,1,179,0.9633333333333334,397.0,0,24,12,21,55,9,50,72,67,49
2024-07-11,324,400,468,370,2,0,-76,0.6923076923076923,314.3333333333333,648,10,57,23,79,65,46,93,91,73
2024-07-11,484,828,896,930,0,0,-344,0.5401785714285714,365.6666666666667,0,63,17,39,49,7,12,68,91,80
2024-07-11,476,900,176,602,0,1,-424,2.7045454545454546,428.0,0,72,66,73,57,96,75,64,88,93
2024-07-11,382,201,158,778,0,1,181,2.4177215189873418,447.3333333333333,0,49,86,65,17,37,68,64,89,12
2024-07-11,732,524,530,624,1,1,208,1.381132075471698,530.0,732,61,2,39,79,61,65,56,46,29
2024-07-11,727,491,737,948,2,0,236,0.9864314789687924,613.6666666666666,1454,88,54,5,80,27,58,61,1,56
2024-07-11,844,878,599,131,2,1,-34,1.4090150250417361,767.6666666666666,1688,98,88,17,6,9,67,19,41,29
2024-07-11,358,313,208,492,2,1,45,1.7211538461538463,643.0,716,95,90,80,75,44,58,74,33,70
2024-07-11,458,790,835,139,0,1,-332,0.548502994011976,553.3333333333334,0,48,57,86,97,64,90,25,93,9
2024-07-11,809,187,377,759,1,1,622,2.145888594164456,541.6666666666666,809,13,62,29,9,97,9,43,20,98
2024-07-11,555,652,167,317,0,1,-97,3.3233532934131738,607.3333333333334,0,0,90,20,68,66,12,66,43,65
2024-07-11,510,500,168,830,2,1,10,3.0357142857142856,624.6666666666666,1020,80,51,61,84,8,1,69,86,93
2024-07-11,748,687,264,181,1,1,61,2.8333333333333335,604.3333333333334,748,24,88,9,2,4,89,61,96,82
2024-07-11,417,988,588,944,1,1,-571,0.7091836734693877,558.3333333333334,417,58,23,12,82,9,14,44,1,38
2024-07-11,776,145,404,819,1,1,631,1.9207920792079207,647.0,776,71,71,75,43,11,45,10,90,36
2024-07-11,324,771,773,300,2,0,-447,0.4191461836998706,505.6666666666667,648,68,8,8,98,81,56,71,58,2
2024-07-11,918,562,464,546,1,0,356,1.978448275862069,672.6666666666666,918,4,36,67,69,57,9,92,85,88
2024-07-11,333,691,953,943,1,1,-358,0.34942287513116477,525.0,333,98,93,38,13,20,21,73,97,33
2024-07-11,783,409,920,527,0,0,374,0.8510869565217392,678.0,0,18,82,23,3,20,88,33,15,85
2024-07-11,763,185,478,137,0,0,578,1.596234309623431,626.3333333333334,0,22,52,33,17,64,78,87,19,37
