date,lux1,lux2,lux3,lux4,weather_condition,season,light1,light2,light3,light4,light5,light6,light7,light8,light9
2024-07-04,665,291,650,107,2,1,15,89,77,85,62,16,12,69,19
2024-07-04,205,116,639,128,2,0,77,98,49,41,39,64,71,77,18
2024-07-04,871,623,870,395,2,1,79,24,64,45,17,92,79,11,1
2024-07-05,921,500,183,820,1,1,58,58,66,72,66,76,61,61,39
2024-07-05,576,985,553,739,0,0,48,78,43,83,61,55,28,26,38
2024-07-05,802,804,766,439,2,1,62,85,30,58,9,92,34,53,90
2024-07-05,501,121,728,727,2,1,61,5,42,20,51,40,59,89,71
2024-07-05,829,573,613,538,0,0,48,51,76,73,72,41,28,11,53
2024-07-05,655,219,704,243,2,0,50,78,47,21,45,5,30,7,26
2024-07-05,261,309,777,929,1,1,32,87,81,28,54,68,76,73,78
2024-07-05,301,405,486,846,2,1,29,20,80,62,45,97,75,15,11
2024-07-05,369,369,449,618,2,0,58,70,80,72,74,74,60,51,77
2024-07-05,962,803,395,144,0,0,75,92,60,60,59,72,1,25,70
2024-07-05,915,786,357,338,2,1,14,95,74,63,96,39,32,7,16
2024-07-05,370,384,180,254,2,1,81,31,83,68,99,40,71,44,89
2024-07-05,555,815,367,280,1,1,91,52,9,39,25,8,61,92,83
2024-07-05,561,775,518,314,0,0,22,58,28,74,26,7,58,83,9
2024-07-05,826,862,334,187,0,1,77,68,47,0,37,43,39,80,18
2024-07-05,351,326,932,355,1,0,93,61,97,64,21,57,48,18,81
2024-07-05,801,480,410,610,2,0,96,3,80,61,25,66,31,16,29
2024-07-05,395,559,912,172,0,0,44,85,61,53,85,12,37,64,29
2024-07-05,824,106,456,278,0,1,61,17,12,59,68,18,91,28,24
2024-07-05,819,128,312,311,2,1,78,98,43,45,34,97,78,13,87
2024-07-05,848,132,673,904,2,1,70,80,46,4,65,95,86,16,73
2024-07-05,437,745,148,333,0,0,14,55,63,21,98,48,87,12,65
2024-07-06,978,978,226,564,2,1,45,23,90,89,72,79,12,92,95
2024-07-06,152,178,322,850,0,0,63,65,52,52,50,99,84,97,34
2024-07-06,891,558,378,322,2,0,45,12,89,69,17,81,53,90,50
2024-07-06,316,669,507,730,2,0,55,61,91,31,42,77,75,62,70
2024-07-06,863,637,604,924,1,0,43,53,76,10,11,29,12,32,70
2024-07-06,287,581,393,363,2,0,74,14,75,9,2,65,38,28,26
2024-07-06,479,529,895,306,1,0,28,68,43,38,81,76,22,36,9
2024-07-06,592,837,376,706,2,1,94,2,27,97,6,90,91,82,96
2024-07-06,140,384,537,984,0,0,61,36,1,30,96,58,13,45,42
2024-07-06,256,615,206,833,0,1,88,36,56,11,5,52,16,23,54
2024-07-06,114,198,757,465,2,0,51,2,56,79,81,51,23,13,70
2024-07-06,912,496,519,375,2,1,53,62,33,37,44,80,57,4,5
2024-07-06,164,588,710,479,0,1,87,34,86,66,85,30,62,52,5
2024-07-06,956,138,528,842,2,1,56,51,57,65,38,14,33,87,76
2024-07-06,938,370,474,408,1,1,82,86,51,51,50,19,50,97,47
2024-07-06,620,986,172,730,1,0,65,27,28,4,8,4,85,94,76
2024-07-06,443,896,733,367,1,0,21,93,34,10,98,6,9,29,1
2024-07-06,228,256,129,884,1,0,19,17,74,24,22,17,71,59,82
2024-07-06,747,174,287,163,1,0,32,35,47,34,11,55,20,72,50
2024-07-06,571,983,463,909,2,1,71,32,32,34,87,74,36,90,60
2024-07-06,162,899,965,449,2,1,24,63,74,21,61,95,6,27,18
2024-07-06,238,229,899,593,1,1,45,25,72,36,72,90,89,25,1
2024-07-07,598,786,550,622,2,0,72,47,77,85,76,89,12,17,50
2024-07-07,692,183,294,197,2,1,97,39,8,54,39,44,79,35,25
2024-07-07,491,121,255,170,1,0,56,16,47,74,53,27,29,7,69
2024-07-07,774,558,271,463,2,1,86,39,66,95,80,49,30,17,19
2024-07-07,518,638,946,669,2,1,4,6,92,98,6,1,4,83,22
2024-07-07,388,806,140,901,2,1,54,56,82,94,16,83,31,57,53
2024-07-07,478,948,162,862,1,1,60,7,35,71,49,67,15,31,14
2024-07-07,872,481,122,375,2,1,88,55,95,63,23,76,72,92,5
2024-07-07,589,847,459,149,0,0,7,30,70,19,1,23,21,48,91
2024-07-07,330,539,174,457,0,1,15,58,91,97,98,47,63,47,34
2024-07-07,140,703,659,827,1,0,47,57,43,3,91,44,43,81,74
2024-07-07,127,120,771,663,0,0,60,11,81,17,82,92,39,70,7
2024-07-07,234,402,924,882,1,0,14,47,59,50,32,57,36,64,56
2024-07-07,300,968,217,584,0,0,64,30,62,67,20,35,77,91,49
2024-07-07,939,183,711,183,0,0,21,82,4,19,73,1,15,32,48
2024-07-07,879,873,479,998,0,0,2,62,86,8,52,17,42,49,87
2024-07-07,132,758,778,904,1,0,53,73,85,79,45,48,83,3,20
2024-07-07,147,552,389,737,1,0,13,38,89,25,44,7,62,83,35
2024-07-07,602,486,539,907,2,1,35,75,75,24,8,57,14,35,70
2024-07-07,506,606,767,683,1,1,81,19,39,67,5,14,43,94,68
2024-07-07,673,356,106,395,0,0,81,47,18,40,50,16,89,27,57
2024-07-07,827,669,295,335,0,0,66,70,46,58,34,22,8,2,62
2024-07-08,904,991,520,155,1,0,9,53,64,44,81,65,64,5,92
2024-07-08,198,626,667,459,1,1,48,77,66,40,52,69,98,44,15
2024-07-08,783,261,932,209,1,1,64,74,90,37,18,92,43,22,5
2024-07-08,971,262,292,291,2,0,90,70,17,18,68,26,19,6,77
2024-07-08,825,931,658,192,0,0,56,28,49,13,24,36,69,60,51
2024-07-08,646,892,247,961,2,1,26,73,29,20,10,48,73,99,1
2024-07-08,838,891,886,667,2,1,74,92,65,14,73,63,32,64,88
2024-07-08,712,623,768,159,0,0,4,72,4,2,16,33,79,5,94
2024-07-08,561,885,301,749,0,0,70,99,92,36,35,17,99,23,76
2024-07-08,742,370,543,138,1,0,82,47,96,45,89,63,5,36,17
2024-07-08,868,591,518,639,1,0,56,73,41,15,94,73,82,44,80
2024-07-08,104,307,526,148,2,1,92,82,83,13,95,43,30,50,91
2024-07-08,317,638,578,519,1,1,14,55,93,8,20,16,65,99,75
2024-07-08,602,683,574,736,1,0,98,94,4,6,17,58,17,87,34
2024-07-08,866,159,225,112,0,0,75,16,49,13,59,12,27,44,85
2024-07-08,497,529,494,135,0,0,29,8,84,5,17,51,67,62,38
2024-07-08,970,756,916,200,1,1,19,96,57,84,0,59,64,28,0
2024-07-08,894,704,980,893,0,0,36,33,78,14,13,41,79,95,36
2024-07-08,492,408,905,185,1,0,2,44,83,51,7,90,44,24,20
2024-07-08,306,619,675,615,0,0,72,87,7,71,65,63,57,9,0
2024-07-08,114,690,424,322,0,1,40,8,30,33,50,65,46,34,3
2024-07-08,957,126,491,437,0,0,38,6,11,0,78,33,65,54,95
2024-07-09,653,785,787,265,0,1,25,15,20,95,59,94,51,24,57
2024-07-09,991,661,727,482,1,0,1,18,93,68,33,86,35,90,0
2024-07-09,560,298,539,955,2,0,22,5,61,93,35,70,0,44,12
2024-07-09,790,486,303,994,0,0,22,10,90,85,61,63,38,95,45
2024-07-09,674,448,585,475,1,1,84,75,89,19,0,32,86,11,46
2024-07-09,963,792,932,570,1,0,15,60,32,79,84,11,89,3,80
2024-07-09,842,635,130,889,0,0,8,41,25,6,41,75,74,89,75
2024-07-09,340,927,487,741,2,1,12,12,89,6,0,18,0,66,6
2024-07-09,663,477,724,130,0,1,27,11,99,49,95,8,74,16,50
2024-07-09,195,998,976,474,1,1,26,84,39,1,83,73,87,72,2
2024-07-09,999,657,533,110,2,0,50,73,64,46,53,16,73,92,49
2024-07-09,833,626,936,401,1,1,63,19,58,13,46,49,13,64,25
2024-07-09,584,252,475,195,0,0,51,49,14,30,99,38,77,81,30
2024-07-09,506,833,443,289,2,1,80,35,0,49,38,40,70,52,99
2024-07-09,330,305,542,552,1,1,37,91,10,60,29,9,22,83,61
2024-07-09,848,554,678,291,1,1,99,87,54,40,6,11,42,56,25
2024-07-09,754,372,174,585,1,0,64,68,1,13,21,78,21,97,66
2024-07-09,270,993,656,365,0,0,17,36,64,4,49,94,59,27,54
2024-07-09,640,335,871,523,2,0,62,11,94,74,44,14,99,98,27
2024-07-09,135,951,765,227,0,0,50,98,43,4,73,27,26,15,43
2024-07-09,624,839,254,337,0,0,8,39,15,63,71,3,55,20,80
2024-07-09,259,620,529,454,0,0,12,53,21,28,90,35,1,76,37
2024-07-10,938,777,462,211,2,0,39,1,17,74,9,64,38,98,29
2024-07-10,798,930,547,927,0,0,54,49,46,4,13,97,50,41,65
2024-07-10,342,825,333,545,0,0,78,40,80,95,45,46,18,53,7
2024-07-10,185,600,662,442,0,1,42,44,29,35,74,80,61,31,13
2024-07-10,895,216,917,244,0,1,43,8,9,78,5,38,70,37,98
2024-07-10,677,485,361,164,1,0,67,61,98,18,20,37,75,69,61
2024-07-10,781,443,926,346,0,0,32,85,57,63,61,43,66,37,74
2024-07-10,656,683,224,834,1,0,23,46,61,21,96,50,62,53,62
2024-07-10,673,494,344,589,0,0,35,4,84,33,18,96,4,59,78
2024-07-10,745,163,641,924,2,1,9,75,79,55,87,84,71,76,65
2024-07-10,895,816,584,538,1,1,99,0,5,16,81,25,77,76,95
2024-07-10,127,820,221,205,1,0,19,43,66,75,98,35,60,46,39
2024-07-10,719,171,224,280,1,1,74,21,40,88,61,68,99,11,12
2024-07-10,655,888,648,283,1,1,11,37,42,55,82,96,70,52,16
2024-07-10,439,373,269,325,2,0,61,18,84,16,52,0,6,32,14
2024-07-10,897,419,223,876,0,0,17,79,76,73,23,52,49,27,32
2024-07-10,430,437,968,889,1,0,93,30,17,91,55,5,45,2,15
2024-07-10,739,465,134,188,2,0,62,66,57,81,61,36,95,81,12
2024-07-10,605,594,186,787,1,1,83,86,59,17,33,1,71,25,85
2024-07-10,447,706,745,629,0,0,24,41,87,44,21,68,75,53,22
2024-07-10,572,265,807,470,1,1,11,81,26,95,67,89,73,39,35
2024-07-10,330,643,885,498,2,0,20,25,67,77,56,40,13,65,42
2024-07-11,289,110,300,205,0,1,24,12,21,55,9,50,72,67,49
2024-07-11,324,400,468,370,2,0,10,57,23,79,65,46,93,91,73
2024-07-11,484,828,896,930,0,0,63,17,39,49,7,12,68,91,80
2024-07-11,476,900,176,602,0,1,72,66,73,57,96,75,64,88,93
2024-07-11,382,201,158,778,0,1,49,86,65,17,37,68,64,89,12
2024-07-11,732,524,530,624,1,1,61,2,39,79,61,65,56,46,29
2024-07-11,727,491,737,948,2,0,88,54,5,80,27,58,61,1,56
2024-07-11,844,878,599,131,2,1,98,88,17,6,9,67,19,41,29
2024-07-11,358,313,208,492,2,1,95,90,80,75,44,58,74,33,70
2024-07-11,458,790,835,139,0,1,48,57,86,97,64,90,25,93,9
2024-07-11,809,187,377,759,1,1,13,62,29,9,97,9,43,20,98
2024-07-11,555,652,167,317,0,1,0,90,20,68,66,12,66,43,65
2024-07-11,510,500,168,830,2,1,80,51,61,84,8,1,69,86,93
2024-07-11,748,687,264,181,1,1,24,88,9,2,4,89,61,96,82
2024-07-11,417,988,588,944,1,1,58,23,12,82,9,14,44,1,38
2024-07-11,776,145,404,819,1,1,71,71,75,43,11,45,10,90,36
2024-07-11,324,771,773,300,2,0,68,8,8,98,81,56,71,58,2
2024-07-11,918,562,464,546,1,0,4,36,67,69,57,9,92,85,88
2024-07-11,333,691,953,943,1,1,98,93,38,13,20,21,73,97,33
2024-07-11,783,409,920,527,0,0,18,82,23,3,20,88,33,15,85
2024-07-11,763,185,478,137,0,0,22,52,33,17,64,78,87,19,37
2024-07-11,926,191,442,310,1,1,8,79,60,92,2,76,45,25,13
2024-07-12,473,759,998,543,1,1,93,23,40,98,68,7,80,15,63
2024-07-12,771,772,653,426,0,1,49,20,4,51,88,20,31,69,38
2024-07-12,707,813,453,860,0,1,15,99,78,37,63,84,74,22,53
2024-07-12,571,341,515,326,0,1,32,39,49,79,48,21,97,41,1
2024-07-12,332,964,208,147,2,1,1,61,3,19,71,96,87,36,95
2024-07-12,791,101,662,117,2,0,13,69,50,87,16,44,4,71,42
2024-07-12,212,324,861,538,0,1,0,68,51,98,72,90,62,5,52
2024-07-12,929,900,596,906,1,0,89,13,38,43,31,39,28,36,2
2024-07-12,596,844,440,807,0,1,57,41,7,50,69,21,47,21,40
2024-07-12,541,688,482,286,2,1,88,49,44,18,20,29,97,5,7
2024-07-12,663,215,632,444,1,0,15,60,87,67,6,61,15,31,89
2024-07-12,367,765,399,323,2,1,78,3,27,96,6,72,24,16,95
2024-07-12,609,202,238,929,1,1,89,71,26,65,26,44,71,37,74
2024-07-12,906,293,458,587,2,0,46,87,64,12,7,34,28,16,62
2024-07-12,485,265,935,976,1,1,43,74,33,61,72,81,51,36,64
2024-07-12,486,970,598,948,1,0,79,16,80,60,27,41,45,22,78
2024-07-12,212,189,484,328,1,1,13,84,61,29,78,4,24,48,3
2024-07-12,712,785,703,489,1,1,92,56,61,97,65,26,22,60,67
2024-07-12,724,221,379,688,2,0,23,89,37,29,70,69,33,48,91
2024-07-12,180,242,736,287,2,1,54,47,25,50,46,61,66,60,9
2024-07-12,798,205,582,957,1,0,14,43,23,87,81,31,93,76,74
2024-07-12,212,986,210,369,1,0,82,44,38,47,85,7,33,31,49
2024-07-13,101,527,965,706,2,0,71,90,20,32,9,84,31,85,22
2024-07-13,741,404,238,409,1,1,33,79,93,73,32,17,28,62,60
2024-07-13,319,971,534,231,1,1,1,89,46,81,6,77,8,6,46
2024-07-13,665,416,608,650,1,0,26,32,47,18,2,14,65,21,2
2024-07-13,954,734,372,171,0,1,73,30,12,70,13,25,56,84,16
2024-07-13,835,108,198,892,1,1,98,46,2,56,43,52,38,5,21
2024-07-13,324,873,863,944,0,1,86,5,31,18,45,43,6,60,90
2024-07-13,484,172,949,771,1,0,71,71,34,87,60,31,68,13,15
2024-07-13,502,458,203,286,2,1,91,70,18,78,35,27,7,15,79
2024-07-13,737,322,313,585,0,0,22,33,13,40,12,38,95,2,2
2024-07-13,229,515,860,290,0,1,67,52,47,41,15,31,17,8,51
2024-07-13,152,652,763,521,1,1,13,13,85,86,79,76,81,46,32
2024-07-13,783,469,861,219,1,0,62,15,80,51,4,78,48,84,41
2024-07-13,829,815,886,319,0,1,92,42,67,3,88,17,15,93,1
2024-07-13,771,363,264,152,2,0,64,72,44,3,37,69,20,93,38
2024-07-13,809,939,952,833,2,1,67,73,18,4,49,10,9,41,45
2024-07-13,515,789,619,550,1,0,62,80,63,40,37,31,3,41,47
2024-07-13,346,959,383,511,2,1,95,11,65,86,55,19,43,95,26
2024-07-13,935,417,616,742,2,1,96,69,78,60,62,96,7,22,14
2024-07-13,538,183,756,336,1,1,89,18,65,74,47,39,54,2,6
2024-07-13,302,417,712,857,2,0,80,40,74,54,89,7,18,0,56
2024-07-13,283,210,263,837,1,0,86,52,44,74,58,34,63,66,41
2024-07-14,222,350,985,819,0,0,63,28,86,12,76,68,39,70,8
2024-07-14,500,482,758,505,1,1,31,69,73,13,43,98,50,2,5
2024-07-14,866,106,163,707,0,0,78,58,66,59,89,77,8,99,56
2024-07-14,393,558,190,521,0,0,12,88,68,71,54,20,29,48,75
2024-07-14,379,183,216,811,2,0,65,63,2,24,54,23,55,66,29
2024-07-14,936,307,965,346,2,0,18,23,37,81,0,16,80,54,54
2024-07-14,983,999,366,171,2,0,23,88,76,43,7,17,43,3,83
2024-07-14,709,489,921,929,1,0,87,15,41,81,3,97,58,30,83
2024-07-14,297,413,784,284,2,0,10,51,82,9,84,11,14,65,53
2024-07-14,610,121,658,105,0,0,58,79,39,70,85,15,67,77,26
2024-07-14,851,509,239,305,2,0,85,5,49,49,52,3,69,63,83
2024-07-14,243,994,345,643,2,0,14,36,34,43,57,88,60,30,58
2024-07-14,708,614,760,710,1,1,9,84,23,13,36,33,79,62,6
2024-07-14,300,226,857,486,1,1,40,3,87,14,48,91,89,65,39
2024-07-14,223,908,494,867,0,0,26,97,16,15,66,45,22,30,93
2024-07-14,286,799,586,798,1,1,59,91,39,1,18,74,76,46,71
2024-07-14,425,973,575,175,2,1,72,37,73,29,0,76,46,21,1
2024-07-14,563,113,616,276,1,0,51,40,65,29,28,30,16,73,13
2024-07-14,448,111,283,926,0,0,27,91,43,81,86,24,56,93,9
2024-07-14,870,186,119,898,2,0,64,80,22,30,32,73,53,96,49
2024-07-14,759,623,657,448,0,1,16,13,5,76,51,23,90,82,17
2024-07-14,863,636,623,354,1,0,94,70,65,19,40,64,51,45,17
2024-07-15,502,400,681,936,1,1,43,85,20,48,22,24,21,88,15
2024-07-15,445,342,628,801,0,0,9,50,34,34,4,27,82,57,51
2024-07-15,610,221,982,407,2,1,62,64,28,22,70,35,38,60,68
2024-07-15,246,246,246,444,1,1,92,92,6,96,56,81,98,45,51
2024-07-15,247,666,765,226,1,0,81,51,92,98,5,5,12,0,30
2024-07-15,963,849,403,386,2,0,46,94,52,99,48,65,77,95,83
2024-07-15,810,455,719,865,1,1,37,29,36,60,21,66,94,24,22
2024-07-15,919,784,847,824,0,1,69,56,22,83,76,71,65,60,95
2024-07-15,588,832,919,861,1,0,75,78,96,54,75,94,51,80,41
2024-07-15,739,730,963,695,1,0,52,81,7,66,3,47,13,13,80
2024-07-15,650,408,681,586,2,1,77,98,75,7,71,82,72,44,61
2024-07-15,437,794,794,482,0,0,43,29,47,39,63,69,73,76,76
2024-07-15,971,387,861,505,2,1,73,97,9,58,36,77,62,38,49
2024-07-15,740,406,327,487,1,0,53,41,78,31,30,66,70,65,76
2024-07-15,878,911,201,624,1,0,19,10,23,92,36,47,27,31,80
2024-07-15,572,693,686,656,2,0,78,26,89,6,44,64,88,95,14
2024-07-15,250,822,516,738,2,1,30,23,46,1,89,43,45,57,89
2024-07-15,514,761,315,725,2,0,6,98,52,84,7,93,27,55,43
2024-07-15,397,648,506,375,0,1,57,38,38,5,39,62,1,5,91
2024-07-15,710,451,498,599,1,0,9,71,66,91,96,45,16,88,41
2024-07-15,362,411,814,816,2,1,9,17,65,35,92,18,58,66,44
2024-07-15,863,972,803,436,1,1,38,76,5,31,4,63,51,81,93
2024-07-16,243,158,860,580,0,0,27,44,20,44,27,82,3,49,34
2024-07-16,445,742,598,996,0,1,29,87,72,41,80,72,76,37,21
2024-07-16,723,813,853,372,0,1,36,86,73,52,86,70,81,2,73
2024-07-16,671,854,564,157,0,1,66,11,35,8,8,49,2,4,74
2024-07-16,980,134,790,427,1,1,42,48,2,74,1,62,36,23,37
2024-07-16,101,544,830,830,0,0,78,93,87,86,62,40,96,53,96
2024-07-16,996,192,181,208,0,0,84,30,85,74,95,6,23,33,69
2024-07-16,403,306,703,378,2,0,51,91,77,48,50,8,71,38,63
2024-07-16,353,452,786,785,0,1,55,21,41,1,30,3,34,87,6
2024-07-16,751,431,850,427,2,1,75,43,44,66,6,88,1,99,43
2024-07-16,552,916,871,875,0,0,67,91,43,10,29,48,32,91,75
2024-07-16,136,961,464,414,0,0,8,63,90,49,57,75,75,47,6
2024-07-16,259,824,262,573,2,1,91,76,32,34,2,5,85,48,65
2024-07-16,108,258,147,210,0,0,22,24,59,14,50,81,76,33,59
2024-07-16,332,123,610,798,1,0,62,50,85,74,55,20,9,79,0
2024-07-16,198,503,428,880,1,1,60,6,92,30,72,14,80,99,61
2024-07-16,758,904,939,328,0,0,39,5,82,91,9,66,61,6,86
2024-07-16,915,615,215,596,1,1,43,23,82,61,60,65,42,17,88
2024-07-16,307,831,948,255,2,0,85,18,69,27,49,55,68,69,17
2024-07-16,230,463,436,572,0,1,23,82,82,95,46,67,58,91,6
2024-07-16,503,481,980,800,0,1,50,99,76,24,89,31,8,33,53
2024-07-16,251,631,836,371,2,1,57,8,25,83,0,65,76,50,66
2024-07-17,153,251,963,986,2,1,89,35,85,91,93,28,59,92,92
2024-07-17,219,661,939,101,2,1,93,39,20,24,56,65,62,67,9
2024-07-17,772,788,246,857,0,0,32,92,99,74,37,33,51,13,60
2024-07-17,727,707,674,821,2,0,15,23,1,82,61,26,22,68,58
2024-07-17,686,716,905,610,2,0,21,47,46,91,78,59,29,88,58
2024-07-17,724,519,422,385,1,1,56,62,29,0,88,38,42,7,68
2024-07-17,519,349,542,970,1,0,61,68,26,58,69,43,67,14,62
2024-07-17,521,216,936,112,0,1,81,52,70,68,81,81,20,82,97
2024-07-17,203,965,112,707,1,1,70,53,19,73,64,35,42,58,7
2024-07-17,951,611,593,597,1,0,89,41,49,41,61,18,72,10,77
2024-07-17,353,839,800,832,2,1,71,44,94,33,55,90,6,19,54
2024-07-17,326,677,386,337,2,0,69,89,22,99,66,44,15,54,5
2024-07-17,211,434,819,193,1,1,29,13,12,65,16,83,22,35,0
2024-07-17,609,517,213,437,1,1,22,28,80,17,7,20,57,81,55
2024-07-17,572,873,579,880,1,0,31,5,3,76,59,22,86,13,96
2024-07-17,198,394,121,270,0,1,85,6,13,4,39,93,30,57,74
2024-07-17,252,854,448,705,0,0,56,36,19,19,80,88,68,37,87
2024-07-17,960,470,825,760,0,1,8,52,12,65,88,94,5,88,9
2024-07-17,995,285,782,723,1,0,30,17,2,74,61,26,64,79,22
2024-07-17,977,345,934,666,1,1,70,86,89,61,40,97,58,81,15
2024-07-17,437,736,665,948,0,0,8,37,89,93,11,71,27,0,15
2024-07-17,805,367,909,566,0,0,12,58,81,95,92,18,17,64,55
2024-07-18,921,742,419,727,1,1,57,0,95,31,88,40,87,0,94
